ID,Headline,Source,Category,Time,URL
1,Meteoroloji açıkladı: 30 Mayıs 2024 hava durumu raporu... Bugün hava nasıl olacak?,Cumhuriyet,Türkiye,2024-05-30T05:43:53Z,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvbWV0ZW9yb2xvamktYWNpa2xhZGktMzAtbWF5aXMtMjAyNC1oYXZhLWR1cnVtdS1yYXBvcnUtYnVndW4taGF2YS0yMjEyMDYx0gEA?hl=tr&gl=TR&ceid=TR%3Atr
2,"Meteoroloji uyardı: Sel, su baskını, yıldırım",Odatv,Türkiye,2024-05-29T14:02:36Z,news.google.com/articles/CBMia2h0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvYmF0aS12ZS1vcnRhLWthcmFkZW5pei1pbGUtaWMtYW5hZG9sdW51bi1rdXpleWktaWNpbi1zYWdhbmFrLXV5YXJpc2ktMTIwMDQ2MTYx0gFvaHR0cHM6Ly93d3cub2RhdHYuY29tL2FtcC9ndW5jZWwvYmF0aS12ZS1vcnRhLWthcmFkZW5pei1pbGUtaWMtYW5hZG9sdW51bi1rdXpleWktaWNpbi1zYWdhbmFrLXV5YXJpc2ktMTIwMDQ2MTYx?hl=tr&gl=TR&ceid=TR%3Atr
3,Meteorolojiden rüzgar uyarısı İhlas Haber Ajansı - Erzurum,İhlas Haber Ajansı,Türkiye,2024-05-30T06:51:11Z,news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmloYS5jb20udHIvZXJ6dXJ1bS1oYWJlcmxlcmkvbWV0ZW9yb2xvamlkZW4tcnV6Z2FyLXV5YXJpc2ktODY3OTI1MzPSAQA?hl=tr&gl=TR&ceid=TR%3Atr
4,Meteoroloji'den çok sayıda il için sağanak uyarısı,BirGün,Türkiye,2024-05-30T03:38:07Z,news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvbWV0ZW9yb2xvamktZGVuLWNvay1zYXlpZGEtaWwtaWNpbi1zYWdhbmFrLXV5YXJpc2ktNTMzODAx0gEA?hl=tr&gl=TR&ceid=TR%3Atr
5,Ekrem İmamoğlu İstanbul'un Fethi'nin 571'inci yıl dönümü kutlama töreninde konuştu,Cumhuriyet,Türkiye,2024-05-29T18:30:00Z,news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3NpeWFzZXQvZWtyZW0taW1hbW9nbHUtaXN0YW5idWx1bi1mZXRoaW5pbi01NzFpbmNpLXlpbC1kb251bXUta3V0bGFtYS0yMjEyMDA10gEA?hl=tr&gl=TR&ceid=TR%3Atr
6,Fatih Sultan Mehmet'in İstanbul bedduası,Odatv,Türkiye,2024-05-30T06:20:13Z,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvZmF0aWgtc3VsdGFuLW1laG1ldGluLWlzdGFuYnVsLWJlZGR1YXNpLTEyMDA0NjIyOdIBUmh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9hbXAvZ3VuY2VsL2ZhdGloLXN1bHRhbi1tZWhtZXRpbi1pc3RhbmJ1bC1iZWRkdWFzaS0xMjAwNDYyMjk?hl=tr&gl=TR&ceid=TR%3Atr
7,Muradiye Külliyesine ziyaretçi akını İhlas Haber Ajansı,İhlas Haber Ajansı,Türkiye,2024-05-30T07:44:11Z,news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmloYS5jb20udHIvYnVyc2EtaGFiZXJsZXJpL211cmFkaXllLWt1bGxpeWVzaW5lLXppeWFyZXRjaS1ha2luaS04Njc5OTEwM9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
8,İletişim Başkanlığı'ndan İstanbul'un fethinin 571. yıl dönümüne özel 3 ciltlik eser,TRT Haber,Türkiye,2024-05-30T07:35:00Z,news.google.com/articles/CBMiggFodHRwczovL3d3dy50cnRoYWJlci5jb20vaGFiZXIvZ3VuZGVtL2lsZXRpc2ltLWJhc2thbmxpZ2luZGFuLWlzdGFuYnVsdW4tZmV0aGluaW4tNTcxLXlpbC1kb251bXVuZS1vemVsLTMtY2lsdGxpay1lc2VyLTg2MDgzNS5odG1s0gEA?hl=tr&gl=TR&ceid=TR%3Atr
9,"Sinan Ateş’in katil zanlısı 7, azmettiricisi 20 suçtan aranıyormuş",Gazete Duvar,Türkiye,2024-05-30T04:54:00Z,news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9zaW5hbi1hdGVzaW4ta2F0aWwtemFubGlzaS03LWF6bWV0dGlyaWNpc2ktMjAtc3VjdGFuLWFyYW5peW9ybXVzLWhhYmVyLTE2OTQ5OTDSAXFodHRwczovL3d3dy5nYXpldGVkdXZhci5jb20udHIvYW1wL3NpbmFuLWF0ZXNpbi1rYXRpbC16YW5saXNpLTctYXptZXR0aXJpY2lzaS0yMC1zdWN0YW4tYXJhbml5b3JtdXMtaGFiZXItMTY5NDk5MA?hl=tr&gl=TR&ceid=TR%3Atr
10,"Devlet Bahçeli'nin görevden aldığı TBMM danışmanı Olcay Kılavuz kim, adı neden Sinan Ateş suikastı dosyasında geçiyor?",Medyascope,Türkiye,2024-05-29T19:28:41Z,news.google.com/articles/CBMilQFodHRwczovL21lZHlhc2NvcGUudHYvMjAyNC8wNS8yOS9kZXZsZXQtYmFoY2VsaW5pbi1nb3JldmRlbi1hbGRpZ2ktdGJtbS1kYW5pc21hbmktb2xjYXkta2lsYXZ1ei1raW0tc2luYW4tYXRlcy1zdWlrYXN0aS1kb3N5YXNpbmRhLWFkaS1uZWRlbi1nZWNpeW9yL9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
11,Olcay Kılavuz kimdir? MHP TBMM danışmanlığı görevinden alınan Olcay Kılavuz hangi görevlerde bulundu?,NTV,Türkiye,2024-05-30T07:08:39Z,news.google.com/articles/CBMimQFodHRwczovL3d3dy5udHYuY29tLnRyL3R1cmtpeWUvb2xjYXkta2lsYXZ1ei1raW1kaXItbWhwLXRibW0tZGFuaXNtYW5saWdpLWdvcmV2aW5kZW4tYWxpbmFuLW9sY2F5LWtpbGF2dXotaGFuZ2ktZ29yZXZsZXJkZS1idWx1bmR1LFBEcU5NSnhpTUVTTDJBR2pKcVZOZGfSAZ0BaHR0cHM6Ly93d3cubnR2LmNvbS50ci9hbXAvdHVya2l5ZS9vbGNheS1raWxhdnV6LWtpbWRpci1taHAtdGJtbS1kYW5pc21hbmxpZ2ktZ29yZXZpbmRlbi1hbGluYW4tb2xjYXkta2lsYXZ1ei1oYW5naS1nb3JldmxlcmRlLWJ1bHVuZHUsUERxTk1KeGlNRVNMMkFHakpxVk5kZw?hl=tr&gl=TR&ceid=TR%3Atr
12,İddia: Sinan Ateş soruşturmasında 17 kişi için ek iddianame hazırlandı,BirGün,Türkiye,2024-05-30T06:22:00Z,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvaWRkaWEtc2luYW4tYXRlcy1zb3J1c3R1cm1hc2luZGEtMTcta2lzaS1pY2luLWVrLWlkZGlhbmFtZS1oYXppcmxhbmRpLTUzMzgxNNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
13,Türk Silahlı Kuvvetleri'nin en büyük müşterek tatbikatı - Güncel Haberler,Habertürk,Türkiye,2024-05-29T20:44:18Z,news.google.com/articles/CBMiRWh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vdHNrLW5pbi1lbi1idXl1ay1tdXN0ZXJlay10YXRiaWthdGktMzY5MDgxNdIBR2h0dHBzOi8vbS5oYWJlcnR1cmsuY29tL3Rzay1uaW4tZW4tYnV5dWstbXVzdGVyZWstdGF0YmlrYXRpLTM2OTA4MTUtYW1w?hl=tr&gl=TR&ceid=TR%3Atr
14,EFES-2024 Tatbikatı'nda seçkin gözlemci günü - Son Dakika Haberleri,TRT Haber,Türkiye,2024-05-30T06:57:00Z,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9oYWJlci9ndW5kZW0vZWZlcy0yMDI0LXRhdGJpa2F0aW5kYS1zZWNraW4tZ296bGVtY2ktZ3VudS04NjA4MjIuaHRtbNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
15,İzmir'de nefes kesen tatbikat! Hedefler tam isabetle vuruldu,Milliyet,Türkiye,2024-05-30T07:34:00Z,news.google.com/articles/CBMicGh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9taWxsaXlldC10di9pem1pcmRlLW5lZmVzLWtlc2VuLXRhdGJpa2F0LWhlZGVmbGVyLXRhbS1pc2FiZXRsZS12dXJ1bGR1LXZpZGVvLTcxMzQ1OTjSAQA?hl=tr&gl=TR&ceid=TR%3Atr
16,Türk savunma sanayii EFES 2024'te gövde gösterisi yapıyor! O füze ilk kez görücüye çıktı!,Sanayi Gazetesi,Türkiye,2024-05-29T09:01:25Z,news.google.com/articles/CBMidWh0dHBzOi8vc2FuYXlpZ2F6ZXRlc2kuY29tLnRyL3R1cmstc2F2dW5tYS1zYW5heWlpLWVmZXMtMjAyNHRlLWdvdmRlLWdvc3RlcmlzaS15YXBpeW9yLW8tZnV6ZS1pbGsta2V6LWdvcnVjdXllLWNpa3RpL9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
17,"Türkiye, G-7 Zirvesi'ne katılıyor",Sözcü,Türkiye,2024-05-30T04:41:00Z,news.google.com/articles/CBMiQGh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci90dXJraXllLWctNy16aXJ2ZXNpLW5lLWthdGlsaXlvci1wNTE5NjXSAURodHRwczovL3d3dy5zb3pjdS5jb20udHIvYW1wL3R1cmtpeWUtZy03LXppcnZlc2ktbmUta2F0aWxpeW9yLXA1MTk2NQ?hl=tr&gl=TR&ceid=TR%3Atr
18,İtalya'dan Türkiye'ye G7 daveti: Erdoğan teklifi kabul etti,Haber7.com,Türkiye,2024-05-30T05:39:00Z,news.google.com/articles/CBMiYWh0dHBzOi8vbS5oYWJlcjcuY29tL2R1bnlhL2hhYmVyLzM0Mjg1MzktaXRhbHlhZGFuLXR1cmtpeWV5ZS1nNy1kYXZldGktZXJkb2dhbi10ZWtsaWZpLWthYnVsLWV0dGnSAWlodHRwczovL20uaGFiZXI3LmNvbS9hbXBodG1sL2R1bnlhL2hhYmVyLzM0Mjg1MzktaXRhbHlhZGFuLXR1cmtpeWV5ZS1nNy1kYXZldGktZXJkb2dhbi10ZWtsaWZpLWthYnVsLWV0dGk?hl=tr&gl=TR&ceid=TR%3Atr
19,"Cumhurbaşkanı Erdoğan, İrlanda ve Norveç Başbakanları ile görüştü",TRT Haber,Türkiye,2024-05-29T17:02:13Z,news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9oYWJlci9ndW5kZW0vY3VtaHVyYmFza2FuaS1lcmRvZ2FuLWlybGFuZGEtdmUtbm9ydmVjLWJhc2Jha2FubGFyaS1pbGUtZ29ydXN0dS04NjA3MDIuaHRtbNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
20,"Türkiye, İtalya'daki G7 Zirvesi'ne katılıyor",Dünya Gazetesi,Türkiye,2024-05-30T07:25:00Z,news.google.com/articles/CBMiU2h0dHBzOi8vd3d3LmR1bnlhLmNvbS9kdW55YS90dXJraXllLWl0YWx5YWRha2ktZzctemlydmVzaW5lLWthdGlsaXlvci1oYWJlcmktNzI5NjY20gEA?hl=tr&gl=TR&ceid=TR%3Atr
21,Adalet Bakanı Tunç: Sokak hayvanları düzenlemesi Meclis’te,Diken,Türkiye,2024-05-29T10:09:09Z,news.google.com/articles/CBMiUmh0dHBzOi8vd3d3LmRpa2VuLmNvbS50ci9hZGFsZXQtYmFrYW5pLXR1bmMtc29rYWstaGF5dmFubGFyaS1kdXplbmxlbWVzaS1tZWNsaXN0ZS_SAQA?hl=tr&gl=TR&ceid=TR%3Atr
22,Fatih Altaylı'ya anket şoku! Kaldırmak zorunda kaldı,Haber7.com,Türkiye,2024-05-30T07:16:00Z,news.google.com/articles/CBMiW2h0dHBzOi8vbS5oYWJlcjcuY29tL21lZHlhL2hhYmVyLzM0Mjg1NzAtZmF0aWgtYWx0YXlsaXlhLWFua2V0LXNva3Uta2FsZGlybWFrLXpvcnVuZGEta2FsZGnSAWNodHRwczovL20uaGFiZXI3LmNvbS9hbXBodG1sL21lZHlhL2hhYmVyLzM0Mjg1NzAtZmF0aWgtYWx0YXlsaXlhLWFua2V0LXNva3Uta2FsZGlybWFrLXpvcnVuZGEta2FsZGk?hl=tr&gl=TR&ceid=TR%3Atr
